#ppt,,,,,,,,,,,,,,,,,,
 ,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2001-01-01T00:00:00Z,9.049778938,7.840911865,8.353549004,9.444797516,11.43054867,15.71896744,40.56951523,32.15096283,51.15227127,71.95542145,131.0884552,179.9632111,6.369420528,5.670181751,7.15208149,8.482654572,11.4493866,13.41503716
2001-02-01T00:00:00Z,99.96060944,92.96459198,88.23669434,91.16652679,96.63122559,127.3679276,1297.609985,1171.716675,860.3599243,843.8882446,1180.84668,1591.567261,36.02235413,34.23034668,29.33189201,29.0497551,34.3634491,39.89445114
2001-03-01T00:00:00Z,91.33833313,92.83886719,101.1106949,107.6517258,108.8043518,101.6351624,351.6665039,359.6218262,418.2565613,469.6299133,425.2854309,136.5731201,18.75277328,18.96369743,20.45132256,21.67094612,20.62244987,11.68645
2001-04-01T00:00:00Z,161.4832001,152.0964813,145.5175629,145.0725098,156.8596039,210.7600555,2358.141602,1406.793945,1192.139771,1541.514771,2714.83667,3348.421143,48.56069946,37.50725174,34.52737808,39.26213074,52.10409546,57.86554337
2001-05-01T00:00:00Z,107.4914093,99.06158447,92.27289581,92.32727051,101.8079453,136.4144135,1255.408081,773.8652344,605.6818237,713.4441528,1257.818115,1261.009399,35.43173981,27.81843376,24.61060333,26.71037483,35.46573257,35.5106926
2001-06-01T00:00:00Z,158.6513977,144.6295319,131.2423248,133.5492554,148.3313141,203.4907074,2800.41626,2197.672607,1654.65271,1586.654541,2135.031006,1028.351318,52.91896057,46.87934113,40.67742157,39.83283234,46.2063942,32.06791687
2001-07-01T00:00:00Z,464.5419922,485.4575806,509.0226746,514.8238525,503.8428955,430.2710876,34746.59375,29319.08203,20470.9707,14065.04102,13751.13184,8405.662109,186.4043884,171.2281647,143.0767975,118.5961227,117.2652206,91.68239594
2001-08-01T00:00:00Z,155.1194305,162.4827881,175.6973572,180.9957733,174.8279572,134.8788605,4016.398926,2670.906982,1483.662842,902.6964722,1192.800293,518.828064,63.37506485,51.68081665,38.51834488,30.04490852,34.53694153,22.7777977
2001-09-01T00:00:00Z,111.8499908,116.6554489,128.7450562,138.2591095,141.370575,146.6631165,398.47229,428.1369324,464.4986877,389.5584412,371.6846924,156.9205475,19.96177101,20.69146919,21.55223083,19.73723412,19.27912521,12.52679348
2001-10-01T00:00:00Z,51.41893387,52.18684387,59.64385986,66.86782074,71.02008057,71.3039856,201.8995667,253.2640991,439.7799377,563.9946899,809.2984619,1073.601807,14.20913696,15.91427326,20.9709301,23.7485733,28.44817162,32.76586533
2001-11-01T00:00:00Z,42.6692276,43.64520264,47.14707565,49.15129471,49.04780579,46.17467499,142.3693542,123.146637,122.6025467,129.9313049,164.7806854,270.4658203,11.93186283,11.09714508,11.07260323,11.39874172,12.83669281,16.44584465
2001-12-01T00:00:00Z,55.02471924,57.45207596,63.6546669,67.68054199,66.53991699,56.22032166,197.0179749,201.0760345,297.2413635,392.6525879,433.1987915,343.4647827,14.03630924,14.1801281,17.24068832,19.81546402,20.81342888,18.53280258
2002-01-01T00:00:00Z,21.19596863,19.79265404,19.3874321,20.37118149,21.15891647,24.96035385,112.2061081,104.0141449,74.49922943,69.35073853,84.37268066,83.53404236,10.59273815,10.19873238,8.631293297,8.327709198,9.185460091,9.139696121
2002-02-01T00:00:00Z,67.48733521,69.62560272,74.31409454,76.84646606,76.74542999,70.65700531,289.0144653,257.4129944,274.937439,299.651001,267.5415649,42.53357315,17.00042534,16.04409599,16.58123779,17.31043053,16.35669708,6.521776676
2002-03-01T00:00:00Z,16.54542542,16.72514725,18.30562973,19.90642929,21.33622932,24.27494812,14.79369164,16.65172958,24.67765045,30.3542881,42.70528412,41.3434639,3.846256733,4.080653191,4.967660427,5.50947237,6.534927845,6.429888248
2002-04-01T00:00:00Z,35.406147,32.18192291,33.13981247,36.3355484,42.09706879,53.13562012,328.5857849,168.8396301,164.3868103,224.4723358,445.7625427,683.2385254,18.12693596,12.99383068,12.82134151,14.98240089,21.11308861,26.13883209
