#ppt,,,,,,,,,,,,,,,,,,
 ,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2001-01-01T00:00:00Z,9.588776588,10.50017834,15.01998329,18.08113861,18.60954094,14.95631027,63.95915985,74.17782593,126.037117,143.7696686,166.5242615,213.1859894,7.997447014,8.612654686,11.22662544,11.99039936,12.90442753,14.60089016
2001-02-01T00:00:00Z,54.5597496,58.59766769,70.03182983,77.10428619,75.60747528,59.91006851,313.9794617,368.6927795,574.1674805,631.0871582,543.7000732,59.8487854,17.71946526,19.20137405,23.96179199,25.12144852,23.31737709,7.736199856
2001-03-01T00:00:00Z,94.98607635,93.59695435,98.43289948,103.7943039,106.8876877,109.5564423,422.8478088,311.739624,304.0371399,315.836731,329.6752319,199.9414368,20.56326294,17.65614891,17.43666077,17.77179527,18.15696144,14.14006519
2001-04-01T00:00:00Z,16.08251762,19.00215721,26.53480721,30.98605728,34.03963089,30.8341217,110.0659332,172.6363983,259.4990845,305.8783875,556.8689575,1240.519775,10.49123096,13.13911724,16.10897446,17.48937988,23.59807014,35.22101212
2001-05-01T00:00:00Z,54.04581451,54.46801376,55.22192001,56.1792984,58.77326965,66.46055603,88.39809418,98.36358643,104.7845154,85.04626465,86.20378113,38.83642578,9.402026176,9.917841911,10.23643112,9.222053528,9.284599304,6.231887817
2001-06-01T00:00:00Z,91.90338898,93.00289917,100.4922028,106.294014,110.4251862,115.8561478,552.6018066,355.2157898,281.1274719,212.6440887,193.474884,260.4032288,23.50748444,18.84716988,16.76685715,14.58232117,13.90952492,16.13701439
2001-07-01T00:00:00Z,222.8260803,215.7782745,204.849411,204.5954895,218.3993073,276.7366333,1783.49353,1622.762817,1697.33252,2149.086914,3353.650635,3222.784424,42.23143005,40.28353119,41.19869614,46.35824585,57.9107132,56.76957321
2001-08-01T00:00:00Z,170.140564,163.3275909,165.1487732,171.8777924,178.0528564,181.0989075,2708.589844,2024.728149,1340.141602,727.6948853,736.1265259,912.5076294,52.04411316,44.99697876,36.60794449,26.97582054,27.13165092,30.20774078
2001-09-01T00:00:00Z,401.1149292,440.4278259,519.3768921,555.9869385,533.7925415,398.4611206,20671.44922,20142.74609,22255.74023,24715.45703,28686.28906,7221.28125,143.7756958,141.9251404,149.1835785,157.2115021,169.3702698,84.9781189
2001-10-01T00:00:00Z,26.94565201,30.22735786,38.6776886,44.40771484,43.77069473,32.43110657,206.5156403,222.8641052,305.0138855,342.7275696,333.9937744,155.2593079,14.3706522,14.92863369,17.46464729,18.51290321,18.27549744,12.46030903
2001-11-01T00:00:00Z,36.82170486,38.24187088,43.23531342,47.50419998,47.60161591,39.90794754,266.5422058,242.307251,248.8580475,256.5591125,275.6963806,306.620636,16.32612038,15.56622124,15.77523518,16.01746368,16.6041069,17.51058578
2001-12-01T00:00:00Z,14.1643219,15.67483997,17.95392036,19.06898689,18.57613945,14.54257584,32.82931137,28.04081154,25.29473305,25.43551254,29.10082245,34.02803802,5.729686737,5.295357704,5.029386997,5.043363094,5.394517899,5.833355427
2002-01-01T00:00:00Z,5.093096733,5.485300064,7.977463722,9.778772354,10.55323887,8.35716629,22.61528587,26.91201591,49.64645386,64.05912018,108.3425522,207.7545624,4.755553246,5.187679291,7.046023846,8.003694534,10.40877247,14.41369343
2002-02-01T00:00:00Z,96.78404999,88.87767792,92.20116425,101.9210129,113.5394669,146.0440521,2384.574951,1663.147339,1356.510742,1465.292603,1865.928101,1173.678833,48.83211136,40.78170395,36.83084106,38.27914047,43.19638824,34.25899506
2002-03-01T00:00:00Z,83.63314056,80.34857941,85.79714966,92.37905121,99.02531433,111.1589661,820.7044678,553.1030273,534.8604126,589.3792114,956.1521606,1384.136475,28.64793968,23.5181427,23.12704849,24.27713394,30.92171097,37.20398331
2002-04-01T00:00:00Z,69.15170288,64.97433472,62.62985992,63.62982178,69.4100647,89.40003967,517.8223877,358.0219727,271.6755981,302.4927673,558.508606,820.2181396,22.7557106,18.92146873,16.482584,17.39231873,23.6327858,28.63945007
2002-05-01T00:00:00Z,61.52730942,59.85137558,62.64415359,66.11357117,70.9477005,81.50866699,286.9289551,209.7763062,193.0005646,164.1360779,210.3805542,279.456604,16.9389782,14.48365688,13.89246464,12.81156063,14.50450134,16.71695518
2002-06-01T00:00:00Z,273.6242676,272.711792,280.5024719,288.451355,294.9556885,324.0057068,4479.038086,2706.325684,1313.680298,700.4120483,672.1708374,261.9146729,66.9256134,52.02235794,36.24472809,26.46529961,25.92625809,16.18377876
2002-07-01T00:00:00Z,221.0202026,214.6234131,208.7180786,211.8884583,225.786911,287.544342,4794.476074,3791.134766,3426.028564,3296.806885,4094.670654,4100.781738,69.24215698,61.57219315,58.5322876,57.41782761,63.98961258,64.03734589
2002-08-01T00:00:00Z,265.654541,258.5093079,245.3691101,241.4807739,250.7012787,276.7626038,1415.86499,1156.710449,1168.856812,1229.043335,1913.526245,2492.029785,37.62798309,34.01044464,34.18854904,35.05771255,43.74386978,49.92023468
2002-09-01T00:00:00Z,267.6181641,256.2661438,247.5419312,254.2809448,264.6625671,306.2265015,3983.571533,3210.916016,2101.471191,2011.721436,2501.338867,3736.285645,63.11553955,56.6649437,45.8418045,44.85221863,50.01338577,61.12516403
2002-10-01T00:00:00Z,57.72798538,51.45100403,45.39917755,45.13219833,50.89599228,70.98907471,440.0817871,343.5456848,334.4506531,398.4770203,818.4981689,1349.135254,20.97812653,18.53498459,18.28799248,19.96188927,28.60940742,36.73057556
2002-11-01T00:00:00Z,20.50234604,21.52605057,23.2138443,24.27818108,24.10777283,19.50596046,62.84129333,52.15317535,30.94540405,23.01702881,26.74060631,26.40578079,7.927249908,7.22171545,5.562859535,4.797606468,5.171132088,5.138655663
2002-12-01T00:00:00Z,4.273331165,4.693113804,5.89402771,6.719944477,6.562869549,3.87585187,13.58773136,10.67051029,9.94102478,9.825155258,10.52172565,6.316732407,3.686153889,3.266574621,3.152939081,3.134510279,3.243721008,2.513311148
2003-01-01T00:00:00Z,10.99205875,11.45826817,13.36769009,15.35718441,16.37419319,15.67986298,20.57419395,22.16333961,30.40966034,37.08785248,49.20177841,68.45146179,4.535878658,4.70779562,5.514495373,6.089979649,7.014398098,8.273539543
2003-02-01T00:00:00Z,31.00635719,23.39146423,17.10196304,17.4428463,24.45370865,50.70584106,658.4300537,511.4483948,498.6448364,625.5910645,1064.670898,1101.357178,25.65989113,22.61522484,22.3303566,25.01181793,32.62929535,33.18670273
2003-03-01T00:00:00Z,26.75071144,26.92416954,30.88200188,34.60895157,38.25587845,44.11988831,91.32006073,91.08422852,138.8338165,166.6505585,284.6495056,424.1489258,9.556153297,9.543806076,11.78277588,12.90932083,16.87155914,20.59487534
